Timestamp,Number of people
2018-07-10T11:10:32.796893Z,61
2018-07-10T11:20:41.329383Z,64
2018-07-10T11:30:51.852207Z,73
2018-07-10T11:41:02.414062Z,73
2018-07-10T11:51:11.129209Z,77
2018-07-10T12:01:19.283864Z,74
2018-07-10T12:11:27.921487Z,76
2018-07-10T12:21:37.770346Z,70
2018-07-10T12:31:49.645917Z,67
2018-07-10T12:41:58.405058Z,72
2018-07-10T12:52:06.141714Z,68
2018-07-10T13:02:15.233309Z,75
2018-07-10T13:12:24.680036Z,75
2018-07-10T13:22:32.696735Z,75
2018-07-10T13:32:42.095376Z,74
2018-07-10T13:42:51.107639Z,77
2018-07-10T13:53:00.194947Z,64
2018-07-10T14:03:08.991060Z,62
2018-07-10T14:13:23.025586Z,50
2018-07-10T14:23:31.456312Z,45
2018-07-10T14:33:40.089214Z,45
2018-07-10T14:43:48.176666Z,41
2018-07-10T14:54:02.087828Z,48
2018-07-10T15:04:10.959250Z,57
2018-07-10T15:14:19.683199Z,59
2018-07-10T15:24:28.514824Z,68
2018-07-10T15:34:37.874114Z,72
2018-07-10T15:44:56.109556Z,78
2018-07-10T15:55:09.523934Z,95
2018-07-10T16:05:20.571311Z,109
2018-07-10T16:11:00.778060Z,112
2018-07-10T16:21:10.306111Z,121
2018-07-10T16:30:13.361785Z,132
2018-07-10T16:40:23.676342Z,149
2018-07-10T16:50:32.617233Z,163
2018-07-10T17:00:41.178349Z,170
2018-07-10T17:10:49.169251Z,183
2018-07-10T17:20:57.762456Z,174
2018-07-10T17:31:21.120034Z,164
2018-07-10T17:41:30.262438Z,155
2018-07-10T17:51:40.454102Z,153
2018-07-10T18:01:49.052850Z,155
2018-07-10T18:11:57.785304Z,131
2018-07-10T18:22:05.547648Z,132
2018-07-10T18:32:17.613219Z,134
2018-07-10T18:42:26.003738Z,139
2018-07-10T18:52:35.044189Z,135
2018-07-10T19:02:52.538262Z,112
2018-07-10T19:13:01.463761Z,104
2018-07-10T19:23:14.823009Z,101
2018-07-10T19:33:24.032407Z,103
2018-07-10T19:43:33.336458Z,89
2018-07-10T19:53:42.301325Z,93
2018-07-10T20:03:52.469893Z,76
2018-07-10T20:14:01.289508Z,76
2018-07-10T20:24:13.970351Z,82
2018-07-10T20:34:23.799424Z,72
2018-07-10T20:44:32.362186Z,75
2018-07-10T20:54:41.567516Z,64
2018-07-10T21:04:50.993676Z,59
2018-07-10T21:15:00.054316Z,63
2018-07-10T21:25:14.798122Z,53
2018-07-10T21:35:31.103061Z,57
2018-07-10T21:45:40.410546Z,51
2018-07-10T21:55:49.441723Z,46
2018-07-10T22:05:57.246422Z,40
2018-07-10T22:16:06.375343Z,36
2018-07-10T23:20:37.200938Z,20
2018-07-10T23:30:44.058836Z,20
2018-07-10T23:40:51.797857Z,20
2018-07-10T23:50:58.621586Z,20
2018-07-11T00:01:07.458699Z,20
2018-07-11T00:11:16.212018Z,20
2018-07-11T00:21:23.077273Z,20
2018-07-11T00:31:33.314849Z,20
2018-07-11T00:41:40.277785Z,20
2018-07-11T00:51:46.988871Z,20
2018-07-11T01:01:53.837957Z,20
2018-07-11T01:12:00.893141Z,20
2018-07-11T01:22:09.274580Z,20
2018-07-11T01:32:24.757815Z,20
2018-07-11T01:42:31.643133Z,20
2018-07-11T01:52:39.504032Z,20
2018-07-11T02:02:46.218410Z,20
2018-07-11T02:12:53.064147Z,20
2018-07-11T02:23:00.002267Z,20
